SightingDate,City,State,Shape,Intensity,Duration,Summary,Witnesses,Posted
1/10/15,Freeland,MD,Triangle,Low,10 seconds,"Three lights that looked like stars in perfect triangular formation, moving very slowly, then fading away simultaneously",1,"January 16, 2015"
1/10/15,Sydney (Canada),NS,Light,Low,15 seconds,Strange tumbling lights in sky.,1,"January 16, 2015"
1/10/15,Halethorpe,MD,Other,High,10 seconds,"Appeared past all satellite orbits 35,000 mi. plus.",1,"January 16, 2015"
1/10/15,Augusta,GA,Unknown,Low,I don't know,What was this? I've never seen anything like it in person.,1,"January 16, 2015"
1/10/15,Sydney (Canada),NS,Sphere,High,2 minutes,Mothership and Two Orbs,1,"January 16, 2015"
1/10/15,Silver Spring,MD,Light,Low,15 minutes,Two slowly moving lights over the tree line outside my window.,1,"January 16, 2015"
1/10/15,Rutland,VT,Sphere,High,30 seconds,"Bright orb witnessed moving back and forth then vanishing, by 3 people in Vermont 1/10/15 16:40",3,"January 16, 2015"
1/10/15,Miamisburg,OH,Sphere,High,,I saw one white sphere object flying in the sky and then it kept multiplying and they were really close together.,1,"January 16, 2015"
1/10/15,Mexico (volcano),NY,Disk,Mid,1 minute,Stationary disc watches Mexican volcano erupting!!,1,"January 16, 2015"
1/10/15,Duluth,MN,Formation,Mid,2-3 minutes,"4 lights over Duluth, MN, one a blue-green with possible gassing, 3 yellow lights following.",1,"January 16, 2015"
1/10/15,Sauk Centre,MN,Cigar,Low,1 minute,"Elongated object gliding low toward NE without noise.  Appeared invisible, except for white head and tail light.",1,"January 16, 2015"
1/10/15,Lake Wales/Winter Haven,FL,Fireball,High,30 seconds,Appeared like a solid rocket booster traveling horizontally then disappearedfor a minute showing up far away with a halo training it.,1,"January 16, 2015"
1/10/15,Romeoville,IL,Light,High,20 minutes,Bright lights in the southwest sky in Illinois.,1,"January 16, 2015"
1/10/15,Chicago,IL,Formation,High,1.5 hour,In the sky in Logan square area southern direction. I saw a number of bright objects in a high orbit over Chicago forming a hexagon.,1,"January 16, 2015"
1/9/15,Honey Brook,PA,Diamond,High,1 minutes,UFO Sighting in Honey Brook.,1,"January 16, 2015"
1/9/15,Rutland,VT,Circle,High,2.5 hours,Circular points of multi-colored flashing lights.,1,"January 16, 2015"
1/9/15,Rochester,NY,Light,High,~5 seconds,Star-like object in slow circular path suddenly speeds across sky in bright white cigar shape then disappears in cloud bank,1,"January 16, 2015"
1/9/15,Orlando,FL,Light,Mid,20 seconds,Blue and red light traveling rapidly above Orlando.,1,"January 16, 2015"
1/9/15,St. Catharines (Canada),ON,Light,Mid,1 minute,Green light over Niagara!,1,"January 16, 2015"
1/9/15,Frenchtown,NJ,Triangle,High,1 minutes,"Large triangle shaped object, emitting fluorescent light.  Lights dimmed in my house from object.",1,"January 16, 2015"
1/9/15,Butte,MT,Unknown,High,1 hour,"Bright red, blue, & yellow lighted objects, viewed over Butte, MT.  ((NUFORC Note:  Probable sighting of Sirius.  PD))",1,"January 9, 2015"
1/9/15,Rockwood,WI,Light,High,2-3 seconds,"Bright white w/ green tint and no trail, looked like an airplane crashing, very high rate of speed.",1,"January 16, 2015"
1/9/15,Waite Park,MN,Light,Mid,7 minutes,Green and orange lights shooting up into the sky.,1,"January 16, 2015"
1/9/15,Naples,FL,Fireball,Mid,45 seconds,The object was orange color no sound.,1,"January 16, 2015"
1/9/15,Woodson,IL,Sphere,Mid,5 minutes,"2 orange spheres seen East of Woodson, Illinois and south of Woodson-Franklin Rd..",1,"January 16, 2015"
1/9/15,Torrington,CT,Triangle,Mid,40 seconds,"Wow, I finally saw one of those triangular objects.",1,"January 16, 2015"
1/9/15,Diamond Bar,CA,Other,High,4 minutes,If you want to see it I got it on my phone and its on my facebook,1,"January 16, 2015"
1/9/15,Shelby (Lay Lake),AL,Light,High,10 seconds,"White star looking object that grew very large, and disappeared.  ((NUFORC Note:  ""Flare"" from Iridium satellite?  PD))",1,"January 16, 2015"
1/9/15,Duluth,MN,Circle,High,20 minutes,Saw 8 very bright orange orbs flying in formation and disappearing.,1,"January 16, 2015"
1/9/15,Seal Beach,CA,Unknown,Mid,8-10 minute,"Mystery light visible from Seal Beach, CA.",1,"January 16, 2015"
1/9/15,Siem Reap (Cambodia),,Fireball,High,1 minute,((HOAX??))  3 fireball looking object was flying in the sky then suddenly it went down and after that i heard a bunch of dogs barking.,1,"January 16, 2015"
1/9/15,Orlando,FL,Fireball,High,1 minute,Bright ascending orange and yellow fireball.,1,"January 16, 2015"
